,Exponential,FicticiousPlay,Random,SwerveAgent,ContinueAgent,BadMove,BadType,BadConnection,BasicAgent,MysteryAgent,Mean Points
FicticiousPlay,90.0,0.0,-504.0,1000.0,-1002.0,0.0,0.0,0.0,-334.0,-336.0,-135.75
Exponential,0.0,-190.0,-694.0,730.0,-1086.0,0.0,0.0,0.0,-501.0,-518.0,-282.375
BasicAgent,-339.0,334.0,-1066.0,334.0,-2338.0,0.0,0.0,0.0,0.0,326.0,-343.625
SwerveAgent,-730.0,-1000.0,-521.0,0.0,-1002.0,0.0,0.0,0.0,-334.0,-1.0,-448.5
Random,74.0,504.0,0.0,521.0,-3126.0,0.0,0.0,0.0,-714.0,-1168.0,-488.625
ContinueAgent,876.0,1002.0,-2184.0,1002.0,0.0,0.0,0.0,0.0,-1002.0,-4998.0,-663.0
MysteryAgent,-632.0,-334.0,-1162.0,1.0,-5002.0,0.0,0.0,0.0,-336.0,0.0,-933.125
BadMove,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,-4383.75
BadType,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,-4383.75
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
