,Exponential,FicticiousPlay,Random,RockLover,BadMove,BadType,Thinker,BadConnection,MathBreaker,TA,Mean Points,Final Score
FicticiousPlay,9.0,0.0,-11.0,1000.0,0.0,0.0,0.0,0.0,0.0,489.0,247.83333333333334,0.24733865602129076
Exponential,0.0,-9.0,5.0,568.0,0.0,0.0,0.0,0.0,0.0,202.0,127.66666666666667,0.12741184298070526
Random,-5.0,11.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,29.0,7.333333333333333,0.007318695941450432
RockLover,-568.0,-1000.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,-177.66666666666666,-0.17731204258150365
TA,-202.0,-489.0,-29.0,-511.0,0.0,0.0,0.0,0.0,0.0,0.0,-205.16666666666666,-0.20475715236194278
BadMove,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-835.0,-0.8333333333333334
BadType,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-835.0,-0.8333333333333334
Thinker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
MathBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
