,Exponential,FicticiousPlay,Random,RockLover,BadMove,BadType,Thinker,BadConnection,MathBreaker,TA,Mean Points,Final Score
FicticiousPlay,-42.0,0.0,2.0,1000.0,0.0,0.0,0.0,0.0,0.0,504.0,244.0,0.2435129740518962
Exponential,0.0,42.0,-47.0,578.0,0.0,0.0,0.0,0.0,0.0,132.0,117.5,0.11726546906187625
Random,47.0,-2.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,-4.0,21.0,0.020958083832335328
TA,-132.0,-504.0,4.0,-480.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.33333333333334,-0.18496340652029275
RockLover,-578.0,-1000.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,-197.16666666666666,-0.19677312042581502
BadMove,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-835.0,-0.8333333333333334
BadType,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-835.0,-0.8333333333333334
Thinker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
MathBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
