,Exponential,FicticiousPlay,Random,RockLover,BadMove,BadType,Thinker,BadConnection,MathBreaker,TA,Mean Points,Final Score
FicticiousPlay,-42.0,0.0,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,542.0,250.16666666666666,0.49933466400532267
Exponential,0.0,42.0,-24.0,596.0,0.0,0.0,0.0,0.0,0.0,176.0,131.66666666666666,0.26280771789753826
Random,24.0,-1.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.01996007984031936
RockLover,-596.0,-1000.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,-185.66666666666666,-0.3705921490352628
TA,-176.0,-542.0,-10.0,-509.0,0.0,0.0,0.0,0.0,0.0,0.0,-206.16666666666666,-0.4115103127079175
BadMove,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-835.0,-1.6666666666666667
BadType,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-835.0,-1.6666666666666667
Thinker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
MathBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
