,Exponential,FicticiousPlay,Random,RockLover,BadMove,BadType,Thinker,BadConnection,MathBreaker,TA,Mean Points,Final Score
FicticiousPlay,-11.0,0.0,-15.0,1000.0,0.0,0.0,0.0,0.0,0.0,509.0,247.16666666666666,0.24667332002661344
Exponential,0.0,11.0,37.0,552.0,0.0,0.0,0.0,0.0,0.0,126.0,121.0,0.12075848303393213
Random,-37.0,15.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,-41.0,-12.5,-0.0124750499001996
RockLover,-552.0,-1000.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,-176.66666666666666,-0.1763140385894877
TA,-126.0,-509.0,41.0,-480.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.0,-0.17864271457085829
BadMove,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-835.0,-0.8333333333333334
BadType,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-835.0,-0.8333333333333334
Thinker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
MathBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
