,Exponential,FicticiousPlay,Random,RockLover,BadMove,BadType,Thinker,BadConnection,MathBreaker,TA,Mean Points,Final Score
FicticiousPlay,-36.0,0.0,-4.0,1000.0,0.0,0.0,0.0,0.0,0.0,519.0,295.8,0.5904191616766468
Exponential,0.0,36.0,-29.0,601.0,0.0,0.0,0.0,0.0,0.0,165.0,154.6,0.3085828343313373
Random,29.0,4.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-11.0,4.0,0.007984031936127744
RockLover,-601.0,-1000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,-218.2,-0.4355289421157684
TA,-165.0,-519.0,11.0,-508.0,0.0,0.0,0.0,0.0,0.0,0.0,-236.2,-0.4714570858283433
BadMove,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-1002.0,-2.0
BadType,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
Thinker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
MathBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
