,Exponential,FicticiousPlay,Random,RockLover,BadMove,BadType,Thinker,BadConnection,MathBreaker,TA,Mean Points,Final Score
FicticiousPlay,-32.0,0.0,-34.0,1000.0,0.0,0.0,0.0,0.0,0.0,504.0,239.66666666666666,0.47837658017298734
Exponential,0.0,32.0,7.0,550.0,0.0,0.0,0.0,0.0,0.0,135.0,120.66666666666667,0.24085163007318697
Random,-7.0,34.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,-3.0,13.166666666666666,0.026280771789753826
RockLover,-550.0,-1000.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,-182.16666666666666,-0.36360612109115104
TA,-135.0,-504.0,3.0,-512.0,0.0,0.0,0.0,0.0,0.0,0.0,-191.33333333333334,-0.38190286094477716
BadMove,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-835.0,-1.6666666666666667
BadType,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-835.0,-1.6666666666666667
Thinker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
MathBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
